station_no,date,delta
6335060,2003-08-09,-13.0
6335060,2003-08-10,-19.0
6335060,2003-11-22,-10.0
6335060,2003-11-23,-18.0
6335060,2003-11-24,-24.0
6335060,2004-03-07,-2.0
6335060,2004-03-08,-2.0
6335060,2004-03-09,4.0
6335060,2004-06-21,-8.0
6335060,2004-06-22,-18.0
6335060,2004-06-23,-19.0
6335060,2004-10-05,-9.0
6335060,2004-10-06,-16.0
6335060,2004-10-07,-24.0
6335060,2005-01-19,7.0
6335060,2005-01-20,49.0
6335060,2005-01-21,107.0
6335060,2005-05-05,0.0
6335060,2005-05-06,14.0
6335060,2005-05-07,26.0
6335060,2005-08-19,17.0
6335060,2005-08-20,7.0
6335060,2005-08-21,2.0
6335060,2005-12-03,-1.0
6335060,2005-12-04,6.0
6335060,2005-12-05,32.0
6335060,2006-03-19,-29.0
6335060,2006-03-20,-55.0
6335060,2006-03-21,-77.0
6335060,2006-07-03,-11.0
6335060,2006-07-04,-27.0
6335060,2006-07-05,-39.0
6335060,2006-10-17,-14.0
6335060,2006-10-18,-27.0
6335060,2006-10-19,-38.0
6335060,2007-01-31,3.0
6335060,2007-02-01,11.0
6335060,2007-02-02,6.0
6335060,2007-05-17,20.0
6335060,2007-05-18,42.0
6335060,2007-05-19,52.0
6335060,2007-08-31,-4.0
6335060,2007-09-01,16.0
6335060,2007-09-02,60.0
6335060,2007-12-15,-46.0
6335060,2007-12-16,-102.0
6335060,2007-12-17,-164.0
6335060,2008-03-30,6.0
6335060,2008-03-31,-1.0
6335060,2008-04-01,-15.0
6335060,2008-07-14,-3.0
6335060,2008-07-15,2.0
6335060,2008-07-16,15.0
6335060,2008-10-28,-2.0
6335060,2008-10-29,7.0
6335060,2008-10-30,9.0
6335060,2009-02-11,49.0
6335060,2009-02-12,162.0
6335060,2009-02-13,162.0
6335060,2009-05-28,3.0
6335060,2009-05-29,23.0
6335060,2009-05-30,42.0
6335060,2009-09-11,-9.0
6335060,2009-09-12,-15.0
6335060,2009-09-13,-22.0
6335060,2009-12-26,86.0
6335060,2009-12-27,143.0
6335060,2009-12-28,127.0
6335060,2010-04-11,-12.0
6335060,2010-04-12,-24.0
6335060,2010-04-13,-32.0
6335060,2010-07-26,33.0
6335060,2010-07-27,59.0
6335060,2010-07-28,59.0
6335060,2010-11-09,40.0
6335060,2010-11-10,73.0
6335060,2010-11-11,77.0
6335060,2011-02-23,-6.0
6335060,2011-02-24,-8.0
6335060,2011-02-25,-15.0
6335060,2011-06-09,13.0
6335060,2011-06-10,3.0
6335060,2011-06-11,-1.0
6335060,2011-09-23,-5.0
6335060,2011-09-24,-12.0
6335060,2011-09-25,-18.0
6335060,2012-01-07,82.0
6335060,2012-01-08,89.0
6335060,2012-01-09,65.0
6335060,2012-04-22,-10.0
6335060,2012-04-23,-14.0
6335060,2012-04-24,-11.0
6335060,2012-08-06,7.0
6335060,2012-08-07,11.0
6335060,2012-08-08,7.0
6335060,2012-11-20,-17.0
6335060,2012-11-21,-33.0
6335060,2012-11-22,-48.0
